,Bigram,Freq
0,data frame,2978.735877873642
1,datum table,1366.9208811491196
2,datum frame,1038.6711401908226
3,column name,1014.9100893635081
4,value column,916.1328470613495
5,multiple column,809.9417980108552
6,shiny app,694.0203176514461
7,new column,646.7343324681985
8,create new,617.7743745821541
9,column value,600.9326295785852
10,apply function,592.5172030304072
11,column data,553.5935561540443
12,column base,503.93469971390067
13,column duplicate,493.3471690194413
14,column dataframe,479.35447950988214
15,row column,476.05324386076006
16,use loop,464.145687191897
17,use dplyr,452.0591827127806
18,error use,431.926786791031
19,use function,431.7990931890385
20,data table,407.11965924492546
21,variable name,379.9297003634136
22,column datum,379.7567758502342
23,frame column,376.4420656471142
24,time series,372.99636719946045
25,plot use,371.21071385065216
26,datum set,368.8117878369032
27,list list,366.85855376363367
28,element list,365.3211302014287
29,add column,359.8260555086319
30,use package,356.2292952692746
31,base column,350.3928321536113
32,bar chart,349.96431388243144
33,column use,349.7015011335227
34,bar plot,340.8101825006871
35,row datum,339.64310108227295
36,factor level,331.95342307572037
37,base condition,329.85278675569725
38,axis label,322.8686949351547
39,read file,316.02602794364986
40,replace value,309.52234057577573
41,character vector,309.35572764739885
42,error message,309.27950552578915
43,base value,305.8308808957737
44,frame duplicate,305.6898003891164
45,categorical variable,297.9989943051525
46,row dataframe,297.3075735610797
47,multiple variable,293.70775770469976
48,install package,292.9655978270371
49,value row,290.1035521203062
